現做咖啡飲品_key,現做咖啡飲品_no,罐裝_瓶裝咖啡_key,罐裝_瓶裝咖啡_no,沖泡式咖啡_key,沖泡式咖啡_no,濾掛式咖啡_key,濾掛式咖啡_no,現做茶飲品_key,現做茶飲品_no,茶飲_key,茶飲_no,碳酸_汽水_key,碳酸_汽水_no,果汁_果醋飲_key,果汁_果醋飲_no,運動飲料_key,運動飲料_no,養生飲品_key,養生飲品_no,能量飲料_key,能量飲料_no,沖泡類飲品_key,沖泡類飲品_no,礦泉水_key,礦泉水_no,氣泡水_key,氣泡水_no,鮮乳類_key,鮮乳類_no,保久乳_key,保久乳_no,調味乳_key,調味乳_no,優格_key,優格_no,優酪乳_key,優酪乳_no,發酵乳_key,發酵乳_no,豆漿_key,豆漿_no,其他植物奶_key,其他植物奶_no,現做霜淇淋_聖代_key,現做霜淇淋_聖代_no,冰淇淋_key,冰淇淋_no,甜筒_key,甜筒_no,水果冰品_key,水果冰品_no,蒸箱食品_key,蒸箱食品_no,地瓜_key,地瓜_no,熱狗_key,熱狗_no,關東煮_key,關東煮_no,米飯類_key,米飯類_no,麵食類_key,麵食類_no,三明治_key,三明治_no,漢堡_key,漢堡_no,生鮮蔬果_沙拉_key,生鮮蔬果_沙拉_no,湯品_key,湯品_no,水餃_點心_key,水餃_點心_no,麵包_key,麵包_no,蛋糕_key,蛋糕_no,中式糕點_key,中式糕點_no,其他甜食_key,其他甜食_no,加工蛋_key,加工蛋_no,生鮮蔬菜_key,生鮮蔬菜_no,生鮮肉品_key,生鮮肉品_no,生鮮海鮮_key,生鮮海鮮_no,冷藏調理_key,冷藏調理_no,冷凍蔬菜_key,冷凍蔬菜_no,冷凍肉品_key,冷凍肉品_no,冷凍海鮮_key,冷凍海鮮_no,冷凍微波料理_key,冷凍微波料理_no,餅乾_key,餅乾_no,堅果_key,堅果_no,肉乾_肉紙_key,肉乾_肉紙_no,豆乾_key,豆乾_no,魷魚絲_key,魷魚絲_no,海苔_key,海苔_no,布丁_果凍_key,布丁_果凍_no,果乾_key,果乾_no,即飲甜品_key,即飲甜品_no,糖果_key,糖果_no,巧克力_key,巧克力_no,其他零食_key,其他零食_no,料理調味_key,料理調味_no,果醬_抹醬_key,果醬_抹醬_no,有機食品_key,有機食品_no,罐頭_key,罐頭_no,各式麵條_拌麵_key,各式麵條_拌麵_no,泡麵_key,泡麵_no,米_key,米_no,米_key,米_no,民生紙品_key,民生紙品_no,洗衣用具_key,洗衣用具_no,家庭清潔用品_key,家庭清潔用品_no,家庭清潔洗劑_key,家庭清潔洗劑_no,衣物清潔_key,衣物清潔_no,嬰幼兒用品_key,嬰幼兒用品_no,餐廚用品_key,餐廚用品_no,汽機車用品類_key,汽機車用品類_no,女性衛生用品_key,女性衛生用品_no,髮部清潔_保養_key,髮部清潔_保養_no,身體清潔_保養_key,身體清潔_保養_no,口腔保健_key,口腔保健_no,美容保養_key,美容保養_no,貓食_key,貓食_no,狗食_key,狗食_no,其他寵物食品_key,其他寵物食品_no,寵物用品_key,寵物用品_no,運動健身_key,運動健身_no,戶外露營_key,戶外露營_no,大型家電_key,大型家電_no,廚房家電_key,廚房家電_no,生活家電_key,生活家電_no,美容家電_key,美容家電_no,視聽娛樂家電_key,視聽娛樂家電_no,書籍_key,書籍_no,數位內容_key,數位內容_no,文教用品_key,文教用品_no,手機_通訊_週邊_key,手機_通訊_週邊_no,電腦螢幕_硬碟_key,電腦螢幕_硬碟_no,相機_攝影_DV_key,相機_攝影_DV_no,品牌鞋款_key,品牌鞋款_no,流行鞋襪_key,流行鞋襪_no,男女內著_key,男女內著_no,童裝_key,童裝_no,女裝_key,女裝_no,男裝_key,男裝_no,個人服飾配件_key,個人服飾配件_no,運動機能服飾_key,運動機能服飾_no,精品／飾品_key,精品／飾品_no,黃金_key,黃金_no,家飾_key,家飾_no,寢具_key,寢具_no,傢俱_key,傢俱_no,床墊_key,床墊_no,菸品_key,菸品_no,威士忌_key,威士忌_no,調酒_key,調酒_no,啤酒_key,啤酒_no,紅白酒_key,紅白酒_no,禮盒_key,禮盒_no
焦糖,1299985.0,蜜糖,347745.0,鐵,40380.0,鐵,40380.0,四季春,575700.0,紅茶,1685575.0,打,327375.0,搾,457095.0,運動,320125.0,燕麥,92350,18CN,210.0,玉米,281050.0,怡漾,266655.0,味丹,210795.0,鮮奶,377170.0,蘋果,252125.0,統一,137665.0,鮮美橘,49710.0,統一,179265.0,纖順暢,307925.0,燕,809815.0,豆腐,640.0,派,49725.0,克林姆,339555.0,滿餡,165170.0,醇,13810.0,黑糖,27660.0,蒸,2850.0,熱食,112130.0,鮮,102895.0,韓式,84590.0,排義,164595.0,露嫩,154685.0,肉,244725.0,嫩,154900.0,雞,20925.0,堡,1385.0,可頌,262885.0,一配,1038755.0,花,73180.0,餅,921970.0,10,15935.0,雪白,650785.0,豬,149415.0,冷藏,123785.0,北道,63210.0,玉米,115725.0,翅,174295.0,魚片,54265.0,湯圓,315805.0,草莓,1393770.0,豆奶,153795.0,餅,86665.0,原味,49465.0,肉,44595.0,本山,72035.0,青,3365.0,甜心,83030.0,八寶粥,70250.0,原味,336830.0,草莓,403710.0,爆米花,187800.0,日式,234000.0,頌,161195.0,5,40480.0,玉米粒,197850,風味,220635.0,拌,119030.0,韓式,84590.0,台灣,69010.0,片,739600.0,槽,126170.0,菜瓜布,401235.0,精補,470295.0,白蘭,73055.0,安全,36730.0,日本,85310.0,機車,198495.0,柔,1152.0,控油,450.0,沙威隆,774.0,白,747.0,保養,523.0,專用,33.0,香腸,53.0,腿,172.0,包箱,15.0,曼秀雷敦,23.0,鋁箔,103.0,框鋼板,8.0,鍋寶,27.0,清淨機,52.0,智能,7.0,IM00N05NY,7.0,白金,672.0,預收整,26.0,系列,99.0,中華電父,492.0,金士頓,26.0,20cm25cm150,144.0,閒鞋,65.0,彈性,167.0,絲內,11.0,人力,52.0,入,776.0,品,169.0,隱形,18.0,女,2.0,UV,45.0,金鯧,19.0,萬用,11.0,極效,154.0,特價品,27.0,乳膠,277.0,峰,6982.0,蘇,154.0,芬蘭,23.0,裝,1837.0,單顆,79.0,x5494,1009.0
杯,1244205.0,波堤,347725.0,濾掛,39745.0,濾掛,39745.0,蜂蜜,565215.0,茶園,1452510.0,蘇打,322660.0,農,456285.0,利多,300100.0,1,81695,自備,130.0,拿,269485.0,S,259475.0,分子,210645.0,一番,301890.0,果汁,244205.0,調味,125970.0,蜜汁,34475.0,LP33,172705.0,新,307915.0,製,809800.0,傳統,595.0,蘋果,49475.0,義美錫蘭紅,326940.0,杯,122360.0,冰特風味,13510.0,餐包,24435.0,紅春香,1515.0,丹麥,82485.0,入,91755.0,肉,82635.0,腿,164480.0,經典,142685.0,勁辣,226185.0,鐵板,151275.0,套餐,19615.0,紐奧良,875.0,肌,204140.0,那堤,897090.0,凍,60615.0,焦糖,745915.0,好,15930.0,筍非,526695.0,肉片,135480.0,魚片,101125.0,餐盒,56725.0,北農,110365.0,骨,170395.0,魚肚,45455.0,四塊,278930.0,薯條,1391270.0,包,118285.0,寬條,85500.0,炸雞,43275.0,圈,42115.0,不二,71070.0,蒟,2345.0,芭樂乾,82360.0,大特,70040.0,口味,334960.0,221101,322900.0,星巴克,151730.0,糰,205125.0,220713,151480.0,菇,39900.0,筋,170580,大餐,201905.0,大蒜,118335.0,肉,82635.0,料理,60250.0,10,649115.0,日用,124930.0,現貨,283565.0,精,347395.0,衣物,63840.0,兒童,36065.0,矽膠,84690.0,汽車,185070.0,細,1152.0,精油,404.0,擦,771.0,好來,726.0,時間,523.0,配方,28.0,大餐,41.0,黃,161.0,免洗,15.0,舒緩,23.0,429,103.0,無邊,8.0,家,26.0,元,41.0,飛利浦,7.0,深藍色,7.0,新尊爵,669.0,主機,21.0,彩色,98.0,小,489.0,威剛,25.0,袋中,144.0,運動鞋,51.0,除臭,155.0,會,10.0,直板,52.0,服飾,749.0,OUTLET,169.0,彩色,18.0,M,1.0,ROSEISAROSE,19.0,金,9.0,橘之屋,11.0,被,37.0,三勝,27.0,餐,193.0,薄荷,6607.0,小,72.0,50ml,23.0,天,1387.0,內紅酒,24.0,啦,1009.0
瑪奇朵,1208450.0,220421,335470.0,UCC,37440.0,UCC,37440.0,新熱,546565.0,裏,1296640.0,西,321560.0,蘋,347460.0,FIN,298070.0,有機,73445,利多,100.0,那堤,241670.0,天然水,251720.0,台鹽,195650.0,六甲,298775.0,巧克力,244085.0,木瓜,121390.0,雞堡,34475.0,零藍莓,156250.0,減糖,256180.0,客,809630.0,有糖,580.0,C,48405.0,冰棒,309435.0,風味,91990.0,鐵,9100.0,茶碗,23810.0,日本,1515.0,大亨,64780.0,起司,82020.0,燒肉,74565.0,炒塔香,164330.0,司堡,138455.0,沙拉,193225.0,雞肉握,143220.0,美式,17865.0,烤,875.0,里,204140.0,V,716035.0,黑糖,37970.0,茶,428850.0,C,15930.0,基改,508620.0,火鍋片,124775.0,切片,90345.0,雞塊,56300.0,菇,110360.0,台灣,168565.0,鮭,37300.0,C,264805.0,蛋撻,990965.0,無,112240.0,600G,69795.0,新,42860.0,寬,36600.0,酥,70535.0,蒻,2345.0,冰梅肉,72060.0,濃經典,70040.0,啾,295245.0,77,292510.0,原味,147230.0,子,204985.0,餐大麥克,143970.0,珍菇,28385.0,剝皮,169430,滿漢,191250.0,香辣,102270.0,燒肉,74565.0,紅標,60135.0,濕巾,635735.0,百貨類,124330.0,手套,274420.0,清潔劑,313025.0,水,61635.0,推車,29300.0,玻璃,81995.0,車用,112850.0,緻,1152.0,香水,373.0,立得,770.0,Darlie,701.0,雪芙蘭,523.0,鮮包,26.0,D,39.0,冷藏,26.0,用,15.0,50ml,23.0,方盤,103.0,能效,8.0,魔力,26.0,鹼性,22.0,黑,7.0,袋,7.0,日,631.0,台灣,19.0,片裝,61.0,電話,473.0,合金,23.0,耐熱,144.0,慢跑鞋,38.0,12,150.0,LU2017L,10.0,超,52.0,3,735.0,運動,75.0,拋,18.0,XL,1.0,鋼針,16.0,J140,9.0,好好,11.0,100,31.0,抽屜,18.0,優惠,193.0,新,6482.0,傑克,71.0,柚子,20.0,黑標,1091.0,梅洛,23.0,脆,1009.0
特大,1085000.0,伯朗,283505.0,白,22400.0,白,22400.0,醇,532230.0,日式,1274765.0,飲,303805.0,一日,333875.0,奧,296750.0,啤酒,55280,金車,100.0,麥香,182325.0,竹炭,240710.0,多喝水,178580.0,田莊,298775.0,超能,208900.0,特濃鮮,114285.0,N,34475.0,福樂,154085.0,配方,177800.0,義美,795150.0,光泉,495.0,糖果,41340.0,花生,267425.0,那堤,91820.0,冰沙,8985.0,蒸,23665.0,球,970.0,元,63140.0,旋風,79620.0,珍珠,66315.0,牛肉,138655.0,雙牛起,138450.0,美式,132430.0,雞肉,121360.0,炸雞,17785.0,熱熔,715.0,小農鮮奶,159205.0,馥郁,576415.0,水果,36075.0,230110,375780.0,香草,10640.0,高麗菜,463465.0,澳洲,117880.0,魷魚,74880.0,烤,56185.0,蔬菜,109050.0,去,157750.0,飯,37025.0,汽水,255765.0,k,962280.0,香,109585.0,牛肉乾,68720.0,麻辣,42180.0,沙拉,35990.0,原味,50195.0,雞,2315.0,日本,71835.0,阿華田,58545.0,嗨,295035.0,碎片,265485.0,米果,140225.0,辣椒,200970.0,香菸,132665.0,雪白,25425.0,土豆,144710,炸醬,166275.0,麻辣,87895.0,珍珠,66315.0,小米,53960.0,紙巾,493635.0,衣物,106105.0,日用,270250.0,充包,309365.0,洗衣粉,60965.0,收納袋,27015.0,陶瓷,79565.0,雨衣,98185.0,吸好眠,949.0,多效護,370.0,清,770.0,限量,617.0,組,453.0,偉嘉妙,26.0,飯,35.0,饗,26.0,尿布,14.0,跳,23.0,304,65.0,一級,8.0,MOLIJIA,26.0,鑽石,21.0,吹風機,7.0,午餐,7.0,讓,621.0,高山,19.0,日,58.0,皮筋,367.0,鋅,23.0,熱的,50.0,耐吉運動,27.0,抗菌,146.0,煙斗,10.0,霸王,52.0,堡,680.0,用品,70.0,月,18.0,短袖,1.0,鍊,13.0,檸檬,9.0,簡約,6.0,寢飾,29.0,箱,18.0,A,141.0,天香,5825.0,丹尼,71.0,瑪格麗酒,20.0,330m,703.0,南非,19.0,雞,1009.0
中冰,851540.0,無糖,278605.0,10,21165.0,10,21165.0,熱紅茶,410390.0,原萃,1146925.0,600ml,286145.0,時刻,231665.0,水,293730.0,2,47870,奧,100.0,玉山,166620.0,泉水,178985.0,海洋,178190.0,鮮鮮乳,288560.0,蛋白,208900.0,乳蛋塔,113990.0,優酪,32875.0,綜合,131395.0,乳酸,62975.0,糖豆,633315.0,統一統,485.0,高級,41210.0,滿餡,245700.0,V,88935.0,阿奇儂,8255.0,蒜,23470.0,紫,970.0,即,62520.0,5,54645.0,藜,66290.0,烏龍,132265.0,肉蛋,127205.0,套餐,128640.0,雙色,118940.0,老爹,17725.0,牛,715.0,香蒜,125715.0,蜂蜜,456190.0,三福,34690.0,歐菲香,326050.0,選,6740.0,好,423120.0,飯,102935.0,鯖魚,72420.0,雞胸,56120.0,雪白,85225.0,鮭魚,134095.0,切片,36820.0,熱狗,255765.0,品客,848375.0,焙果,104725.0,雞,66170.0,豆干,39935.0,統一,35985.0,家福,46075.0,啦,2245.0,義美生機,70480.0,椰果,51035.0,葡萄,280575.0,繽紛樂,261095.0,促,111125.0,胡椒,185395.0,腿,120880.0,一生,16930.0,魚片,138300,蔬菜,146240.0,韓國,64555.0,藜,66290.0,包,53605.0,舒適,452615.0,精,69365.0,百貨類,270190.0,芳香,298850.0,管家,48060.0,墊,17150.0,保鮮盒,78460.0,代付,94640.0,亞極,949.0,花王,356.0,清爽,767.0,蘆薈,617.0,含水,444.0,毛,24.0,雞,34.0,專櫃,26.0,嬰兒,13.0,繩,22.0,OMORY,53.0,HITACHI,8.0,即食,26.0,3,20.0,全,7.0,人,7.0,BLT,536.0,高麗菜,19.0,隱形,54.0,5,285.0,廣穎,17.0,吳郭魚,38.0,鞋,27.0,入,142.0,都,10.0,入,47.0,腿,676.0,男童,43.0,視妝美,18.0,圓領,1.0,耳,11.0,美國,9.0,多功能,5.0,精梳棉,29.0,入,17.0,涼,68.0,紫,5042.0,威雀,54.0,醇堂,19.0,極,589.0,鴕鳥,19.0,蛋撻,1009.0
茶,790540.0,藍山,264175.0,咖啡豆,21095.0,咖啡豆,21095.0,V,378585.0,無糖,973810.0,125L,284215.0,飲料,227420.0,舒跑,237395.0,露,36580,160cc,100.0,馬,159725.0,舒跑,164895.0,悅氏,171600.0,世家,276625.0,牛奶,205465.0,乳,108390.0,乳酪,28565.0,優多,123095.0,草莓,55470.0,桂格,517045.0,箱贈,485.0,可可,21260.0,深,245700.0,冰淇淋,36110.0,風味,7995.0,日式,22110.0,25,825.0,美廉社,62510.0,2,37535.0,堡,65510.0,義,72375.0,餐豬,125045.0,啦,124400.0,醬,116605.0,花椒,14975.0,丼,715.0,花生,121885.0,冰特選,329090.0,風,34125.0,濃抹,272610.0,600g30g10,6740.0,菜,400695.0,火鍋,94025.0,蝦仁,68440.0,四塊,25280.0,好,64335.0,肩里,128235.0,挪威,36435.0,冷凍,213805.0,樂事,593525.0,洽洽,103005.0,肉桂,66120.0,鼎王,28980.0,辣味,34540.0,KS,43900.0,腿,2240.0,蜜,67870.0,純水,50610.0,水果,275160.0,金莎,250155.0,捲,80405.0,小,169665.0,香煙,109960.0,統,16310.0,紅燒,128450,蔥燒,132555.0,桶,50525.0,堡,65510.0,履歷,44325.0,90,422825.0,內衣,61720.0,拖把,248370.0,清潔,262820.0,妙,47985.0,奶嘴,14640.0,現貨,61700.0,用,90600.0,褲褲,916.0,露,257.0,濕,739.0,超氟亮,617.0,Biore,444.0,偉嘉乾,23.0,翅,30.0,柳葉魚,20.0,妙,13.0,捷拉奧拉,21.0,保溫,49.0,冷暖,7.0,KINYO,18.0,吹,20.0,限量,7.0,顯示器,6.0,BLTAngusBeefB,536.0,600g,19.0,拋隱形,53.0,黑大,267.0,吋,16.0,MEKO,35.0,女鞋,25.0,3,142.0,32,9.0,造型,42.0,配件,671.0,12,38.0,團美祿,17.0,涼,1.0,耳絲,10.0,PM,7.0,包黑,4.0,兩用,29.0,寬,16.0,雙人床,56.0,雙晶球,5042.0,克蘭瑟,52.0,瓶,19.0,罐組,473.0,超級,14.0,挪威,645.0
冰紅茶,755545.0,濃經典,232780.0,MOCCONA,17700.0,MOCCONA,17700.0,檸檬紅,356675.0,立頓,964060.0,纖維,247650.0,100,217845.0,保力,215575.0,燕麥奶,32965,杯,100.0,碎片,143170.0,深層,118895.0,泡,170015.0,套餐,230835.0,必思,186795.0,草莓,83395.0,鮮奶,28075.0,益敏,122680.0,LP33,46490.0,的,496995.0,250mlx2,485.0,瑪奇朵,20500.0,焙,245700.0,迷你,34150.0,兌換券,7705.0,燒包,21295.0,栗香,775.0,型,62510.0,和,27910.0,麥燒,65500.0,蕃茄,55145.0,牛肉,109270.0,雞蛋堡,116130.0,烤,81505.0,青,14975.0,花生,690.0,歐,113830.0,黑,265875.0,黑丸,33370.0,派,268980.0,浤,6590.0,針菇,364755.0,冷凍,81580.0,挪威,65185.0,紙包,25250.0,家樂福,49095.0,輪切,127885.0,糰,36120.0,魚餃,205080.0,卡辣姆久,283855.0,義美,99245.0,青,57150.0,蛋,28980.0,絲,33985.0,橘平屋,39350.0,咔,2240.0,葡萄,50920.0,奶茶,45300.0,巧克力,272125.0,三粒,246825.0,綜合,76715.0,磨坊,157030.0,二,95545.0,芽,15695.0,雞湯,125800,鮮蝦,100560.0,杯,45520.0,麥燒,65500.0,天生,40920.0,廚房,343985.0,防滑,54350.0,日本,244745.0,一匙,234945.0,香香,44280.0,包巾,13010.0,製,59095.0,專用,76430.0,晚安,916.0,600ml,257.0,洗面乳,611.0,超值,617.0,保濕水,444.0,糧化,23.0,起司,7.0,去皮,20.0,而,13.0,桃綠,15.0,25cm,36.0,坪,7.0,盤,18.0,風機,20.0,HD08,7.0,耳機,5.0,10,463.0,小米,17.0,保鮮盒,51.0,2,228.0,硬碟,16.0,公司,21.0,男鞋,22.0,810243,142.0,無鋼,9.0,2,38.0,咔,236.0,褲,27.0,能量,17.0,爽衣,1.0,120g,10.0,鉑,7.0,家而適,4.0,床,29.0,聯府面,16.0,尺,53.0,鴻運,4415.0,走路,7.0,麴,19.0,500ml,463.0,玫瑰,14.0,噌,89.0
大,613120.0,代銷,221990.0,金牌,16135.0,金牌,16135.0,小,314360.0,冰室,952500.0,2L,228455.0,紅牌,182730.0,達蠻,205875.0,家樂福,31015,袋,75.0,摩卡,142685.0,味丹,116550.0,口味,139040.0,鮮乳坊,228350.0,可爾,184815.0,鮮乳坊,79745.0,莓果,27805.0,乳原,96775.0,益敏,46470.0,喝,496985.0,加糖,485.0,鹹,20360.0,球,192595.0,拉亞漢堡,18515.0,21PLUS21,5855.0,叉,21265.0,30,670.0,享券餘額,62510.0,風章,27910.0,當加,63280.0,紅燒,51190.0,美式,88650.0,卡,106975.0,清爽,69590.0,香麻,14445.0,重磅,690.0,布里,113760.0,原味,255525.0,三福嫩,30070.0,核果,262475.0,良,6590.0,機金,364735.0,公斤,74975.0,鹽,57265.0,404572,20735.0,空心菜,46115.0,真,122285.0,魚卵,35905.0,水餃,185725.0,的,257530.0,義美高纖,85505.0,肉片,56975.0,干,24015.0,一配,31625.0,半切,33710.0,香麻,2240.0,芒果乾,44050.0,綠豆,45115.0,比菲多,193945.0,V,246710.0,酥,70880.0,橄欖油,140420.0,檸檬,85040.0,機有,15065.0,辣味,98675,魚板,100210.0,烏龍,42460.0,當加,63280.0,漿,39305.0,安心,132575.0,鏽,53290.0,風倍,241295.0,洗碗,217625.0,香草,39080.0,袋,11310.0,304,55980.0,紀錄,74600.0,2,836.0,噴霧,247.0,芬妮,574.0,獅王,536.0,仕女,438.0,魚,22.0,雞肉球,5.0,皇金土,20.0,舒瞬吸,13.0,屈臣氏,15.0,烤,36.0,雞腿堡,7.0,必備,16.0,鈦,19.0,戴森,7.0,4KAndroidTV,5.0,拋心動,349.0,0406,17.0,月,49.0,有線,207.0,讀卡機,15.0,貨,19.0,男,19.0,繡,61.0,排汗,9.0,褲,36.0,中辣,236.0,入,24.0,方塊,17.0,,,隱形,7.0,500600g,4.0,收納,4.0,東妮,29.0,提袋,15.0,B,52.0,菸,4218.0,約翰,7.0,750ml750ml,19.0,麒麟,311.0,凱利嵐卡本,14.0,味,89.0
那堤,570735.0,美式,219550.0,炭燒,12755.0,炭燒,12755.0,569,289505.0,飲,944235.0,維,168475.0,芭樂,179760.0,碳酸,190275.0,黑豆,22170,麥汁易,70.0,奶粉,138780.0,抽,115890.0,舒味,136725.0,農戶,172995.0,乳酸,180930.0,飲,79715.0,光泉,26520.0,養樂多,85630.0,優多,46470.0,黑豆,450395.0,無,485.0,V,20150.0,捲,157730.0,純,18440.0,風味館,5855.0,正港,19885.0,35,670.0,20,57940.0,魚燒,27910.0,便,59675.0,石二鍋,46415.0,蛋堡,74550.0,k,78175.0,配,69590.0,咖哩,10915.0,勞豬,640.0,輕食,108665.0,特選,247325.0,光泉,23635.0,太妃,262475.0,園,5320.0,青蔥,361675.0,澳牛,72390.0,入,44135.0,鄉嫩,14700.0,250g,44850.0,清雞,122285.0,一配,35900.0,蛋,184735.0,海苔,256205.0,全,70635.0,牛肉,48665.0,老,17605.0,龍蝦,31425.0,苔原,33180.0,堡絕,2240.0,超大,42985.0,約克夏,44290.0,S,187485.0,球,231000.0,焦糖,67780.0,胡椒粉,132495.0,排餐,82585.0,150g,13510.0,鰻,90935,2S,98695.0,袋,40985.0,便,59675.0,二等,38255.0,日本,122580.0,入,51740.0,除菌,238545.0,日用,203515.0,4D,37955.0,小獅,10910.0,餐具,54325.0,支付,74600.0,棉衛生,806.0,染,246.0,蒂,574.0,兒童,469.0,肌用,417.0,80g,22.0,燒烤,4.0,鹿野,19.0,舒爽,13.0,4MM,15.0,針,36.0,吸塵器,6.0,烤肉,16.0,元素,19.0,dyson,7.0,吋,5.0,時刻,349.0,吸塵器,15.0,迪士尼,44.0,耳,148.0,晶片,14.0,防水,12.0,AIRMAX97,16.0,刺,61.0,吸濕,9.0,一,27.0,XL,236.0,EF2753,22.0,425,10.0,,,鋯石,6.0,,,附掛,2.0,ToniaNicole,29.0,舞曲,13.0,天然,51.0,寶亨號,4043.0,圓桌,6.0,蘋果,6.0,330mlx6,300.0,卡本,13.0,十全,89.0
濃經典,485675.0,特調,201170.0,系列,12185.0,系列,12185.0,3993,289505.0,麥香,869495.0,大力,168475.0,椰子,178380.0,580ml,162260.0,光泉,21190,330ml,65.0,黑芝麻,127110.0,加厚型,115705.0,思萊姆,136720.0,2,142640.0,可可,178335.0,鮮乳,70965.0,絲,24485.0,活菌,63210.0,飲料,46070.0,厚濃,291160.0,一陽光,485.0,綜合霜,17240.0,愛心,118010.0,蛋,16525.0,焦糖,5770.0,辣味,19165.0,葉,555.0,芝士,45990.0,燕餃,22365.0,雙拼,59670.0,海鮮,45025.0,元氣,74550.0,厚切,75420.0,餐義式,48700.0,吮指,10855.0,麥當,640.0,堡,104830.0,杯子,227885.0,盒,22780.0,紅茶,245625.0,園洗,5320.0,甘藍,346920.0,穀,65765.0,22,42180.0,胡,12535.0,公斤,42945.0,黑橋牌,120305.0,無刺,24425.0,麻辣,184075.0,日本,249570.0,烤,70625.0,蛋堡,47740.0,太珍香,16320.0,明太子,31405.0,味,32715.0,低卡,2240.0,摘,41140.0,湯,43745.0,易口,164705.0,製,223075.0,旺旺,64390.0,番茄,126870.0,七星,80940.0,機甘栗,13510.0,佛蒙特,81275,冬粉,98215.0,爽口,39810.0,雙拼,59670.0,好米,35690.0,春風,97420.0,不,50555.0,清織物,232670.0,百貨類,203440.0,園洗,36520.0,枕,9445.0,台灣,46235.0,清淨劑,74565.0,完美,802.0,180ml,230.0,皂,483.0,入,256.0,敏感,417.0,鮭魚,22.0,肉,4.0,魚脯,15.0,黏貼,13.0,防滑,14.0,方形,35.0,冷氣,6.0,麥飯,16.0,80,16.0,Philips,6.0,realme50,5.0,勁濃,320.0,無線,15.0,1,39.0,風扇,125.0,螢幕,13.0,家福,11.0,WMNSAIRFORC,15.0,跟,54.0,無鋼圈,8.0,立體,27.0,雞腿堡,236.0,四角,16.0,護手,6.0,,,不銹鋼,6.0,,,抹布,2.0,加大,18.0,圓,13.0,充氣床,47.0,星球,3732.0,武士,6.0,香蕉,6.0,焙茶,262.0,朵,10.0,酥,78.0
冰拿鐵,403050.0,韋恩特濃,198760.0,精品,12130.0,精品,12130.0,蜜柚,120095.0,茶集,852365.0,OOHA,166145.0,水,166670.0,蠻牛,152605.0,3,18530,罐,60.0,原味,113265.0,LOVEPEACE80,115700.0,柚子,129740.0,乳,121995.0,麥香雞,165625.0,可可,66225.0,穀,23680.0,零無,59275.0,啵,42330.0,統一,273395.0,黑豆,450.0,買,15660.0,脆皮,86195.0,餅,9465.0,一份,5765.0,鷄,18980.0,40,425.0,國產,41370.0,貢丸,21635.0,s,59665.0,酸菜,36255.0,65,69780.0,薯來,72580.0,肉,31920.0,雙雞絕,10855.0,滿福堡,640.0,雞,100870.0,經典,224450.0,分享,22740.0,中,239670.0,一級,5125.0,配大薯,336250.0,牛肉,64700.0,握壽司,42125.0,黑,12530.0,菠菜,40440.0,豬,96750.0,刺,20900.0,餃,178880.0,棒,233760.0,纖果,70260.0,辣,45255.0,香,16230.0,風味沙,31375.0,小,31385.0,凍,1895.0,轉手,41120.0,花生仁,36915.0,風味,164275.0,品,220810.0,仙貝,62085.0,佛蒙特,92290.0,花生,79300.0,高麗菜,13395.0,甜,61270,大利,64765.0,燙,38615.0,s,59665.0,6KG,27735.0,捲,94380.0,鋼,44465.0,消臭,226505.0,衣物,198725.0,濃縮,36430.0,台灣,9385.0,模具,43720.0,支架,69060.0,棉柔,731.0,3MM,225.0,巾,403.0,45g,254.0,MOS,383.0,ROYAL,10.0,丼,4.0,清潔,10.0,型,13.0,無毒,12.0,防水,27.0,冰箱,5.0,石電烤,16.0,TPLinkTapoC100wifi,15.0,S778820,6.0,藍芽,4.0,晶碩,232.0,Line,14.0,PQ,33.0,藍芽,124.0,創見,11.0,透氣,11.0,WMNSCOURT,14.0,W,53.0,黑,8.0,4711289490388LINEFRIENDS,27.0,啦,236.0,圖案,15.0,霜,6.0,,,環三對入,6.0,,,勾,2.0,舒芙蕾,9.0,隔板,7.0,記憶床,39.0,馬,3459.0,尊爵,6.0,SKYY,6.0,霸,151.0,IGP,10.0,預購,66.0
